기관코드,사업명,권역,본예산원,집행액원,계약건수,지연건수,민감정보건수,기준일
EDU-01,교육데이터 품질개선,수도권,1850000000,1124500000,42,3,1,2026-05-31
EDU-02,학교업무 경감 플랫폼,충청권,1420000000,987600000,35,5,0,2026-05-31
EDU-03,디지털교과서 접근성,호남권,980000000,655200000,28,2,2,2026-05-31
EDU-04,지역대학 혁신지원,영남권,2310000000,1732500000,51,7,0,2026-05-31
EDU-05,평생교육 통합포털,강원권,760000000,401800000,19,1,1,2026-05-31
EDU-06,유보통합 행정연계,제주권,640000000,288000000,17,4,0,2026-05-31
SAFE-01,재난안전 문자 고도화,전국,1250000000,837500000,31,2,0,2026-05-31
SAFE-02,시설물 위험예측,수도권,890000000,489500000,22,6,0,2026-05-31
WEL-01,보훈대상자 통계정비,전국,540000000,378000000,16,1,3,2026-05-31
WEL-02,복지급여 중복점검,전국,1130000000,678000000,27,8,4,2026-05-31
